Date,Country,Cat,Name
1934,United States of America,USA,John Francis Robert Pelkington
1934,United States of America,USA,Nat Frankel
1937,United States of America,USA,Walt Miller
1937,United States of America,USA,Al Cervi
1938,United States of America,USA,Chick Reiser
1938,United States of America,USA,Buddy Jeannette
1938,United States of America,USA,Petey Rosenberg
1938,United States of America,USA,Ken Suesens
1938,United States of America,USA,Matt Guokas
1938,United States of America,USA,Mike Bloom
1939,United States of America,USA,Wibs Kautz
1939,United States of America,USA,Grady Lewis
1939,United States of America,USA,Ralph Kaplowitz
1939,United States of America,USA,Leo Gottlieb
1939,United States of America,USA,Irv Torgoff
1939,United States of America,USA,Mike Novak
1939,United States of America,USA,Nick Shaback
1940,United States of America,USA,Bob Dille
1940,United States of America,USA,Ed Sadowski
1941,United States of America,USA,George Ratkovicz
1941,United States of America,USA,Ossie Schectman
1941,United States of America,USA,Elmer Gainer
1941,United States of America,USA,Gene Englund
1941,United States of America,USA,Curly Armstrong
1941,United States of America,USA,Herm Schaefer
1941,United States of America,USA,George Glamack
1941,United States of America,USA,Moe Becker
1941,United States of America,USA,Carlisle Towery
1941,United States of America,USA,Charlie Hoefer
1942,United States of America,USA,Dick Schulz
1942,United States of America,USA,Red Klotz
1942,United States of America,USA,Gus Doerner
1942,United States of America,USA,Pete Lalich
1943,United States of America,USA,Kleggie Hermsen
1943,United States of America,USA,Angelo Musi
1943,United States of America,USA,Art Hillhouse
1943,United States of America,USA,Ben Scharnus
1943,United States of America,USA,Bob Davies
1943,United States of America,USA,Mel Riebe
1943,United States of America,USA,Stanley Stutz
1943,United States of America,USA,Bob Tough
1944,United States of America,USA,Gale Bishop
1944,United States of America,USA,Jerry Fleishman
1944,United States of America,USA,Jerry Kelly
1944,United States of America,USA,Roger Jorgensen
1944,United States of America,USA,Al Lucas
1944,United States of America,USA,Mike Bytzura
1944,United States of America,USA,John Murphy
1944,United States of America,USA,Red Wallace
1944,United States of America,USA,Irv Rothenberg
1944,United States of America,USA,Mike McCarron
1944,United States of America,USA,Richie Niemiera
1944,United States of America,USA,Stan Patrick
1944,United States of America,USA,Howie Rader
1944,United States of America,USA,Dick Triptow
1944,United States of America,USA,Warren Fenley
1945,United States of America,USA,George Senesky
1945,United States of America,USA,Hal Tidrick
1945,United States of America,USA,John Mahnken
1945,United States of America,USA,Andrew Levane
1945,United States of America,USA,Roy Hurley
1945,United States of America,USA,John Barr
1945,United States of America,USA,Frank Baumholtz
1945,United States of America,USA,Hank Beenders
1945,United States of America,USA,Arnie Risen
1945,United States of America,USA,Fred Lewis
1945,United States of America,USA,Bob Fitzgerald
1945,United States of America,USA,Bob Kinney
1945,United States of America,USA,Herm Fuetsch
1945,United States of America,USA,Chips Sobek
1945,United States of America,USA,Bob Rensberger
1945,United States of America,USA,Doug Holcomb
1946,United States of America,USA,George Mikan
1946,United States of America,USA,Ken Keller
1946,United States of America,USA,John Janisch
1946,United States of America,USA,Bob Gantt
1946,United States of America,USA,Arnie Johnson
1946,United States of America,USA,Connie Simmons
1946,United States of America,USA,Aud Brindley
1946,United States of America,USA,Ed Stanczak
1946,United States of America,USA,Frank Fucarino
1946,United States of America,USA,George Pastushok
1946,United States of America,USA,Hank Rosenstein
1946,United States of America,USA,Harold Brown
1946,United States of America,USA,Harold Kottman
1946,United States of America,USA,George Nostrand
1946,United States of America,USA,Jack Garfinkel
1946,United States of America,USA,Don Carlson
1946,United States of America,USA,Tony Jaros
1946,United States of America,USA,Jerry Rullo
1946,United States of America,USA,Ned Endress
1946,United States of America,USA,Hank Lefkowitz
1946,United States of America,USA,Bob Faught
1946,United States of America,USA,Chet Carlisle
1946,United States of America,USA,Jack Hewson
1946,United States of America,USA,Jack Maddox
1946,United States of America,USA,John Abramovic
1946,United States of America,USA,John Mandic
1946,United States of America,USA,Ernie Calverley
1946,United States of America,USA,Paul Seymour
1946,United States of America,USA,Billy Hassett
1946,United States of America,USA,Ariel Maughan
1946,United States of America,USA,Marty Passaglia
1946,United States of America,USA,Joe Fulks
1946,United States of America,USA,Max Zaslofsky
1946,United States of America,USA,Dick Fitzgerald
1946,United States of America,USA,Pop Goodwin
1946,United States of America,USA,George Mearns
1946,United States of America,USA,Ray Wertis
1946,United States of America,USA,Mel Thurston
1946,United States of America,USA,Giff Roux
1946,United States of America,USA,Leo Mogus
1946,United States of America,USA,Johnny Logan
1946,United States of America,USA,Johnny Ezersky
1946,United States of America,USA,Lee Knorek
1946,United States of America,USA,Leo Klier
1946,United States of America,USA,Bob Feerick
1946,United States of America,USA,Joe Fabel
1946,United States of America,USA,Harry Zeller
1946,United States of America,USA,Coulby Gunther
1946,United States of America,USA,Herschel Baltimore
1946,United States of America,USA,George Munroe
1946,United States of America,USA,Deb Smith
1946,United States of America,USA,George Grimshaw
1946,United States of America,USA,Mel Hirsch
1946,United States of America,USA,Milo Komenich
1946,United States of America,USA,Milt Schoon
1946,United States of America,USA,Nat Militzok
1946,United States of America,USA,Price Brookfield
1946,United States of America,USA,Ralph Siewert
1946,United States of America,USA,Dale Morey
1946,United States of America,USA,Al Brightman
1946,United States of America,USA,Art Spector
1946,United States of America,USA,Art Stolkey
1946,United States of America,USA,Aubrey Davis
1946,United States of America,USA,Rollie Seltz
1946,United States of America,USA,Sidney Hertzberg
1946,United States of America,USA,Stan Brown
1946,United States of America,USA,Bill Davis
1946,United States of America,USA,Bob Doll
1946,United States of America,USA,Bob Duffy
1946,United States of America,USA,Bruce Hale
1946,United States of America,USA,©
1946,United States of America,USA,Bud Palmer
1946,United States of America,USA,Bones McKinney
1946,United States of America,USA,Ken Sailors
1946,United States of America,USA,Howie Dallmar
1946,United States of America,USA,Chet Aubuchon
1946,United States of America,USA,Chuck Gilmur
1946,United States of America,USA,Whitey Von Nieda
1946,United States of America,USA,Tom Callahan
1946,United States of America,USA,Tom King
1946,United States of America,USA,Tommy Byrnes
1946,United States of America,USA,Virgil Vaughn
1946,United States of America,USA,Wyndol Gray
1946,United States of America,USA,Earl Shannon
1946,United States of America,USA,Armand Cure
