National_Basketball_Association,country_of_citizenshipLabel,US_OR_NOT,National_Basketball_AssociationLabel,work_period__start_,
http://www.wikidata.org/entity/Q3798501,United States of America,1,John Francis Robert Pelkington,1934,1
http://www.wikidata.org/entity/Q2900419,United States of America,1,Nat Frankel,1934,1
http://www.wikidata.org/entity/Q4400987,United States of America,1,Walt Miller,1937,1
http://www.wikidata.org/entity/Q1346751,United States of America,1,Al Cervi,1937,1
http://www.wikidata.org/entity/Q513749,United States of America,1,Chick Reiser,1938,1
http://www.wikidata.org/entity/Q282290,United States of America,1,Buddy Jeannette,1938,1
http://www.wikidata.org/entity/Q2370513,United States of America,1,Petey Rosenberg,1938,1
http://www.wikidata.org/entity/Q3814516,United States of America,1,Ken Suesens,1938,1
http://www.wikidata.org/entity/Q988415,United States of America,1,Matt Guokas,1938,1
http://www.wikidata.org/entity/Q3857359,United States of America,1,Mike Bloom,1938,1
http://www.wikidata.org/entity/Q1528032,United States of America,1,Wibs Kautz,1939,1
http://www.wikidata.org/entity/Q2354921,United States of America,1,Grady Lewis,1939,1
http://www.wikidata.org/entity/Q1635371,United States of America,1,Ralph Kaplowitz,1939,1
http://www.wikidata.org/entity/Q3830254,United States of America,1,Leo Gottlieb,1939,1
http://www.wikidata.org/entity/Q3154585,United States of America,1,Irv Torgoff,1939,1
http://www.wikidata.org/entity/Q3857433,United States of America,1,Mike Novak,1939,1
http://www.wikidata.org/entity/Q3876035,United States of America,1,Nick Shaback,1939,1
http://www.wikidata.org/entity/Q3641286,United States of America,1,Bob Dille,1940,1
http://www.wikidata.org/entity/Q1452898,United States of America,1,Ed Sadowski,1940,1
http://www.wikidata.org/entity/Q386259,United States of America,1,George Ratkovicz,1941,1
http://www.wikidata.org/entity/Q454850,United States of America,1,Ossie Schectman,1941,1
http://www.wikidata.org/entity/Q3723567,United States of America,1,Elmer Gainer,1941,1
http://www.wikidata.org/entity/Q3759419,United States of America,1,Gene Englund,1941,1
http://www.wikidata.org/entity/Q1640546,United States of America,1,Curly Armstrong,1941,1
http://www.wikidata.org/entity/Q1640832,United States of America,1,Herm Schaefer,1941,1
http://www.wikidata.org/entity/Q1644826,United States of America,1,George Glamack,1941,1
http://www.wikidata.org/entity/Q3860048,United States of America,1,Moe Becker,1941,1
http://www.wikidata.org/entity/Q3610467,United States of America,1,Carlisle Towery,1941,1
http://www.wikidata.org/entity/Q3666663,United States of America,1,Charlie Hoefer,1941,1
http://www.wikidata.org/entity/Q2353399,United States of America,1,Dick Schulz,1942,1
http://www.wikidata.org/entity/Q3080241,United States of America,1,Red Klotz,1942,1
http://www.wikidata.org/entity/Q5620638,United States of America,1,Gus Doerner,1942,1
http://www.wikidata.org/entity/Q7172082,United States of America,1,Pete Lalich,1942,1
http://www.wikidata.org/entity/Q591020,United States of America,1,Kleggie Hermsen,1943,1
http://www.wikidata.org/entity/Q1635273,United States of America,1,Angelo Musi,1943,1
http://www.wikidata.org/entity/Q2371105,United States of America,1,Art Hillhouse,1943,1
http://www.wikidata.org/entity/Q2264273,United States of America,1,Ben Scharnus,1943,1
http://www.wikidata.org/entity/Q887885,United States of America,1,Bob Davies,1943,1
http://www.wikidata.org/entity/Q3854075,United States of America,1,Mel Riebe,1943,1
http://www.wikidata.org/entity/Q3968117,United States of America,1,Stanley Stutz,1943,1
http://www.wikidata.org/entity/Q3641349,United States of America,1,Bob Tough,1943,1
http://www.wikidata.org/entity/Q3757539,United States of America,1,Gale Bishop,1944,1
http://www.wikidata.org/entity/Q1635011,United States of America,1,Jerry Fleishman,1944,1
http://www.wikidata.org/entity/Q3808028,United States of America,1,Jerry Kelly,1944,1
http://www.wikidata.org/entity/Q2651754,United States of America,1,Roger Jorgensen,1944,1
http://www.wikidata.org/entity/Q2658449,United States of America,1,Al Lucas,1944,1
http://www.wikidata.org/entity/Q2688037,United States of America,1,Mike Bytzura,1944,1
http://www.wikidata.org/entity/Q774008,United States of America,1,John Murphy,1944,1
http://www.wikidata.org/entity/Q964121,United States of America,1,Red Wallace,1944,1
http://www.wikidata.org/entity/Q954846,United States of America,1,Irv Rothenberg,1944,1
http://www.wikidata.org/entity/Q3857419,United States of America,1,Mike McCarron,1944,1
http://www.wikidata.org/entity/Q3934925,United States of America,1,Richie Niemiera,1944,1
http://www.wikidata.org/entity/Q3968110,United States of America,1,Stan Patrick,1944,1
http://www.wikidata.org/entity/Q3699437,United States of America,1,Howie Rader,1944,1
http://www.wikidata.org/entity/Q3706972,United States of America,1,Dick Triptow,1944,1
http://www.wikidata.org/entity/Q4018269,United States of America,1,Warren Fenley,1944,1
http://www.wikidata.org/entity/Q84553,Germany,0,Frido Frey,1945,1
http://www.wikidata.org/entity/Q1606788,United States of America,1,George Senesky,1945,1
http://www.wikidata.org/entity/Q3782509,United States of America,1,Hal Tidrick,1945,1
http://www.wikidata.org/entity/Q1635403,United States of America,1,John Mahnken,1945,1
http://www.wikidata.org/entity/Q1640979,United States of America,1,Andrew Levane,1945,1
http://www.wikidata.org/entity/Q2651621,United States of America,1,Roy Hurley,1945,1
http://www.wikidata.org/entity/Q3014089,United States of America,1,John Barr,1945,1
http://www.wikidata.org/entity/Q3082506,United States of America,1,Frank Baumholtz,1945,1
