Père_Lachaise_Cemetery,Père_Lachaise_CemeteryLabel,occupation,occupationLabel,WHERE
http://www.wikidata.org/entity/Q319243,Alexandre Koyré,http://www.wikidata.org/entity/Q333634,translator,
http://www.wikidata.org/entity/Q319243,Alexandre Koyré,http://www.wikidata.org/entity/Q1622272,university teacher,
http://www.wikidata.org/entity/Q319243,Alexandre Koyré,http://www.wikidata.org/entity/Q4964182,philosopher,
http://www.wikidata.org/entity/Q319243,Alexandre Koyré,http://www.wikidata.org/entity/Q16063546,historian of science,
http://www.wikidata.org/entity/Q319261,Eugène Scribe,http://www.wikidata.org/entity/Q36180,writer,
http://www.wikidata.org/entity/Q319261,Eugène Scribe,http://www.wikidata.org/entity/Q36834,composer,
http://www.wikidata.org/entity/Q319261,Eugène Scribe,http://www.wikidata.org/entity/Q214917,playwright,
http://www.wikidata.org/entity/Q319261,Eugène Scribe,http://www.wikidata.org/entity/Q8178443,librettist,
http://www.wikidata.org/entity/Q319261,Eugène Scribe,http://www.wikidata.org/entity/Q36180,writer,
http://www.wikidata.org/entity/Q319261,Eugène Scribe,http://www.wikidata.org/entity/Q36834,composer,
http://www.wikidata.org/entity/Q319261,Eugène Scribe,http://www.wikidata.org/entity/Q214917,playwright,
http://www.wikidata.org/entity/Q319261,Eugène Scribe,http://www.wikidata.org/entity/Q8178443,librettist,
http://www.wikidata.org/entity/Q319927,Pierre Georges,http://www.wikidata.org/entity/Q23833535,French Resistance fighter,
http://www.wikidata.org/entity/Q319927,Pierre Georges,http://www.wikidata.org/entity/Q23833535,French Resistance fighter,
http://www.wikidata.org/entity/Q320383,François-Henri de Franquetot de Coigny,http://www.wikidata.org/entity/Q82955,politician,
http://www.wikidata.org/entity/Q320383,François-Henri de Franquetot de Coigny,http://www.wikidata.org/entity/Q82955,politician,
http://www.wikidata.org/entity/Q320383,François-Henri de Franquetot de Coigny,http://www.wikidata.org/entity/Q82955,politician,
http://www.wikidata.org/entity/Q320464,Jean-Baptiste Faure,http://www.wikidata.org/entity/Q36834,composer,
http://www.wikidata.org/entity/Q320464,Jean-Baptiste Faure,http://www.wikidata.org/entity/Q2865819,opera singer,
http://www.wikidata.org/entity/Q320464,Jean-Baptiste Faure,http://www.wikidata.org/entity/Q10732476,art collector,
http://www.wikidata.org/entity/Q320464,Jean-Baptiste Faure,http://www.wikidata.org/entity/Q16145150,music teacher,
http://www.wikidata.org/entity/Q320464,Jean-Baptiste Faure,http://www.wikidata.org/entity/Q36834,composer,
http://www.wikidata.org/entity/Q320464,Jean-Baptiste Faure,http://www.wikidata.org/entity/Q2865819,opera singer,
http://www.wikidata.org/entity/Q320464,Jean-Baptiste Faure,http://www.wikidata.org/entity/Q10732476,art collector,
http://www.wikidata.org/entity/Q320464,Jean-Baptiste Faure,http://www.wikidata.org/entity/Q16145150,music teacher,
http://www.wikidata.org/entity/Q320962,Louis Lacombe,http://www.wikidata.org/entity/Q36834,composer,
http://www.wikidata.org/entity/Q320962,Louis Lacombe,http://www.wikidata.org/entity/Q486748,pianist,
http://www.wikidata.org/entity/Q320962,Louis Lacombe,http://www.wikidata.org/entity/Q36834,composer,
http://www.wikidata.org/entity/Q320962,Louis Lacombe,http://www.wikidata.org/entity/Q486748,pianist,
http://www.wikidata.org/entity/Q321949,Francisco Ballesteros,http://www.wikidata.org/entity/Q47064,military personnel,
http://www.wikidata.org/entity/Q322082,Jean François Aimé Dejean,http://www.wikidata.org/entity/Q82955,politician,
http://www.wikidata.org/entity/Q322082,Jean François Aimé Dejean,http://www.wikidata.org/entity/Q189290,military officer,
http://www.wikidata.org/entity/Q322198,Carel Hendrik Ver Huell,http://www.wikidata.org/entity/Q47064,military personnel,
http://www.wikidata.org/entity/Q322198,Carel Hendrik Ver Huell,http://www.wikidata.org/entity/Q82955,politician,
http://www.wikidata.org/entity/Q322198,Carel Hendrik Ver Huell,http://www.wikidata.org/entity/Q193391,diplomat,
http://www.wikidata.org/entity/Q322593,Camille Crémer,http://www.wikidata.org/entity/Q47064,military personnel,
http://www.wikidata.org/entity/Q322593,Camille Crémer,http://www.wikidata.org/entity/Q189290,military officer,
http://www.wikidata.org/entity/Q322676,Émile Félix Fleury,http://www.wikidata.org/entity/Q47064,military personnel,
http://www.wikidata.org/entity/Q322676,Émile Félix Fleury,http://www.wikidata.org/entity/Q82955,politician,
http://www.wikidata.org/entity/Q322676,Émile Félix Fleury,http://www.wikidata.org/entity/Q189290,military officer,
http://www.wikidata.org/entity/Q322676,Émile Félix Fleury,http://www.wikidata.org/entity/Q193391,diplomat,
http://www.wikidata.org/entity/Q322676,Émile Félix Fleury,http://www.wikidata.org/entity/Q47064,military personnel,
http://www.wikidata.org/entity/Q322676,Émile Félix Fleury,http://www.wikidata.org/entity/Q82955,politician,
http://www.wikidata.org/entity/Q322676,Émile Félix Fleury,http://www.wikidata.org/entity/Q189290,military officer,
http://www.wikidata.org/entity/Q322676,Émile Félix Fleury,http://www.wikidata.org/entity/Q193391,diplomat,
http://www.wikidata.org/entity/Q322867,Honoré Langlé,http://www.wikidata.org/entity/Q36834,composer,
http://www.wikidata.org/entity/Q322867,Honoré Langlé,http://www.wikidata.org/entity/Q158852,conductor,
http://www.wikidata.org/entity/Q322867,Honoré Langlé,http://www.wikidata.org/entity/Q1622272,university teacher,
http://www.wikidata.org/entity/Q322867,Honoré Langlé,http://www.wikidata.org/entity/Q14915627,musicologist,
http://www.wikidata.org/entity/Q322867,Honoré Langlé,http://www.wikidata.org/entity/Q16031530,music theorist,
http://www.wikidata.org/entity/Q322867,Honoré Langlé,http://www.wikidata.org/entity/Q16145150,music teacher,
http://www.wikidata.org/entity/Q322867,Honoré Langlé,http://www.wikidata.org/entity/Q36834,composer,
http://www.wikidata.org/entity/Q322867,Honoré Langlé,http://www.wikidata.org/entity/Q158852,conductor,
http://www.wikidata.org/entity/Q322867,Honoré Langlé,http://www.wikidata.org/entity/Q1622272,university teacher,
http://www.wikidata.org/entity/Q322867,Honoré Langlé,http://www.wikidata.org/entity/Q14915627,musicologist,
http://www.wikidata.org/entity/Q322867,Honoré Langlé,http://www.wikidata.org/entity/Q16031530,music theorist,
http://www.wikidata.org/entity/Q322867,Honoré Langlé,http://www.wikidata.org/entity/Q16145150,music teacher,
http://www.wikidata.org/entity/Q323589,Xavier Leroux,http://www.wikidata.org/entity/Q36834,composer,
http://www.wikidata.org/entity/Q323589,Xavier Leroux,http://www.wikidata.org/entity/Q121594,professor,
http://www.wikidata.org/entity/Q323589,Xavier Leroux,http://www.wikidata.org/entity/Q16145150,music teacher,
http://www.wikidata.org/entity/Q323589,Xavier Leroux,http://www.wikidata.org/entity/Q36834,composer,
http://www.wikidata.org/entity/Q323589,Xavier Leroux,http://www.wikidata.org/entity/Q121594,professor,
http://www.wikidata.org/entity/Q323589,Xavier Leroux,http://www.wikidata.org/entity/Q16145150,music teacher,
http://www.wikidata.org/entity/Q323707,Henri Cernuschi,http://www.wikidata.org/entity/Q43845,businessperson,
http://www.wikidata.org/entity/Q323707,Henri Cernuschi,http://www.wikidata.org/entity/Q82955,politician,
http://www.wikidata.org/entity/Q323707,Henri Cernuschi,http://www.wikidata.org/entity/Q188094,economist,
http://www.wikidata.org/entity/Q323707,Henri Cernuschi,http://www.wikidata.org/entity/Q806798,banker,
http://www.wikidata.org/entity/Q323707,Henri Cernuschi,http://www.wikidata.org/entity/Q1930187,journalist,
http://www.wikidata.org/entity/Q323707,Henri Cernuschi,http://www.wikidata.org/entity/Q10732476,art collector,
http://www.wikidata.org/entity/Q323707,Henri Cernuschi,http://www.wikidata.org/entity/Q43845,businessperson,
http://www.wikidata.org/entity/Q323707,Henri Cernuschi,http://www.wikidata.org/entity/Q82955,politician,
http://www.wikidata.org/entity/Q323707,Henri Cernuschi,http://www.wikidata.org/entity/Q188094,economist,
http://www.wikidata.org/entity/Q323707,Henri Cernuschi,http://www.wikidata.org/entity/Q806798,banker,
http://www.wikidata.org/entity/Q323707,Henri Cernuschi,http://www.wikidata.org/entity/Q1930187,journalist,
http://www.wikidata.org/entity/Q323707,Henri Cernuschi,http://www.wikidata.org/entity/Q10732476,art collector,
http://www.wikidata.org/entity/Q323765,Henri Baudrillart,http://www.wikidata.org/entity/Q188094,economist,
http://www.wikidata.org/entity/Q323765,Henri Baudrillart,http://www.wikidata.org/entity/Q1930187,journalist,
http://www.wikidata.org/entity/Q324998,Pierre-Jean de Béranger,http://www.wikidata.org/entity/Q36180,writer,
http://www.wikidata.org/entity/Q324998,Pierre-Jean de Béranger,http://www.wikidata.org/entity/Q36834,composer,
http://www.wikidata.org/entity/Q324998,Pierre-Jean de Béranger,http://www.wikidata.org/entity/Q49757,poet,
http://www.wikidata.org/entity/Q324998,Pierre-Jean de Béranger,http://www.wikidata.org/entity/Q82955,politician,
http://www.wikidata.org/entity/Q324998,Pierre-Jean de Béranger,http://www.wikidata.org/entity/Q488205,singer-songwriter,
http://www.wikidata.org/entity/Q324998,Pierre-Jean de Béranger,http://www.wikidata.org/entity/Q753110,songwriter,
http://www.wikidata.org/entity/Q324998,Pierre-Jean de Béranger,http://www.wikidata.org/entity/Q13391399,chansonnier,
http://www.wikidata.org/entity/Q324998,Pierre-Jean de Béranger,http://www.wikidata.org/entity/Q36180,writer,
http://www.wikidata.org/entity/Q324998,Pierre-Jean de Béranger,http://www.wikidata.org/entity/Q36834,composer,
http://www.wikidata.org/entity/Q324998,Pierre-Jean de Béranger,http://www.wikidata.org/entity/Q49757,poet,
http://www.wikidata.org/entity/Q324998,Pierre-Jean de Béranger,http://www.wikidata.org/entity/Q82955,politician,
http://www.wikidata.org/entity/Q324998,Pierre-Jean de Béranger,http://www.wikidata.org/entity/Q488205,singer-songwriter,
http://www.wikidata.org/entity/Q324998,Pierre-Jean de Béranger,http://www.wikidata.org/entity/Q753110,songwriter,
