Year,USA,World
1934,2,0
1938,6,0
1939,7,0
1941,10,0
1942,4,0
1943,8,0
1944,15,0
1945,16,1
1946,95,2
1947,54,0
1948,53,0
1949,51,2
1950,28,0
1952,19,0
1954,25,0
1955,23,1
1956,23,0
1957,14,0
1959,17,0
1961,36,0
1962,24,0
1963,16,0
1964,26,0
1965,30,0
1966,31,0
1967,51,0
1968,38,0
1969,45,0
1970,54,1
1972,43,0
1973,46,3
1974,48,1
1975,49,1
1976,39,4
1977,51,1
1978,45,2
1979,41,5
1980,68,3
1981,52,8
1982,50,2
1983,47,8
1984,45,6
1985,55,12
1986,55,7
1987,56,4
1988,60,10
1989,58,2
1990,68,15
1991,54,5
1992,64,12
1993,52,14
1994,43,13
1995,56,15
1996,51,19
1997,54,29
1998,58,17
1999,54,31
2000,42,15
2001,52,31
2002,48,22
2003,50,29
2004,45,21
2005,69,33
2006,60,26
2007,61,27
2008,56,25
2009,59,20
2011,69,21
2012,65,32
2013,55,25
2014,63,24
2015,61,16
2016,70,22
2017,75,18
2018,83,14
2019,70,21
2020,3,0
